,jobdescription,jobtitle
491,"Minimum Required Skills:Java, SQL, Linux, SQL Server, Scala, REPL, Ammonite, NoSQL, Gremlin, SPARQLWe are seeking a junior level back end software developer with 1+ years of work experience and a BS in computer science or a related field like math, statistics, or electrical engineering, to help engineer, build and improve the backend of our artificial intelligence legal services offerings.The ideal candidate will have:- Experience with the Java ecosystem- Experience with relational databases and writing SQL- Experience using and navigating Linux servers, especially installing and configuring services on the command line- Strong communication and time management skills- An interest in bringing advanced computational techniques to bear on large, messy, complicated legal datasets to help individuals navigate the law intelligentlyWe strongly prefer candidates who also have:- Experience with Scala and associated tools such as sbt and the REPL or Ammonite- Experience with NoSQL databases and query languages such as Gremlin or SPARQL- Experience with source control (git), testing, continuous integration, and continuous deploymentPluses include:- Background in math or statistics- Experience with data analysis/data science and tools like R or python/scipy/numpy- Experience working with graph (node and edge) data- Experience with natural language processing and machine learning- Experience working with 100 Tbyte+ data sets- Experience developing webappsSo, if you are a Software Developer with 1-2 years of experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.","Back End Software Developer - Java, SQL, Linux"
492,"Role: Macintosh/MAC Support EngineerWork Location: Dedham, MADuration: 6+ Months Must Have Skills :General Mac operating system maintenance and management in a business environment which includes network Mac and PC devices on an enterprise Windows networkApplication and OS upgrades/patches and knowledge of security practicesWireless and wired networking principles including drive mounting/mapping Nice to have skills:Local and wireless printingLocal and network backup including NAS, SAN, automated backup using 3rd party and native OS tools Top 3 responsibilities: Upgrade the Macintosh devicesTrouble shoot performance issuesDocument, track changes and benefits    Thanks,NivasSoftHQ IncConsulting – Development – Staffing  Direct: 858-658-9200 x 621| Fax: 858-225-6834 | E-mail: nivas@softhq.com","Macintosh/MAC Support Engineer - Dedham, MA"
493,"Casa Systems, Inc., a leading provider of fixed, mobile, optical and Wi-Fi solutions for ultra-broadband services, seeks to hire Engineers to join its growing team based in Andover, MA. Visit our Booth:      DICE Technology Career FairThursday, February 23, 201711:00AM-3:00PM Boston Marriot Newton2345 Commonwealth AvenueAuburndale, MA  Principal Software Quality Assurance Engineer RF DOCSISDevelops and executes systems level and functional tests for networking equipment focused on DOCSIS Physical (RF) layer testing. Senior Technical Support EngineerProvides first-line technical assistance by phone and email to support Casa’s edge DOCSIS 3.0 CMTS products as well as universal EqgeQAM and intelligent video processing solutions for broadcast and unicast services to Casa’s customers. Sustaining Software EngineerSeeks out and applies software solutions to resolve field reported software defects and customer requested enhancements. FPGA Design Verification EngineerDevelops and executes test plans to verify functions of the FPGA (verify system, full chip, and block level). Software Quality Assurance Engineer – Video TestingDevelops and executes software quality tests for video applications of Cable Modem Termination Systems (CMTS) based upon disruptive technology. Software Engineer – Build and ToolsIn this individual contributor role, utilize your understanding of software development to assist the software team in the implementation of effective processes and tools to manage the source code, software builds – configuration management, build metrics, test environments, and software deployment processes. Principal Software Engineer – LTE & Wi-Fi VirtualizationDesigns, develops and debugs high performance, robust software for LTE and Wi-Fi virtualization products. To apply, visit Casa’s careers page at http://www.casa-systems.com/careers.html Casa Systems, Inc. is an Equal Opportunity Employer M/F/D/V that values and encourages diversity. Candidates must be work authorized. Principals only, please.",Engineer
494,"Program Manager M&A BD102816New Britain, CT 1 Year Contract  or Contract to Hire  *** NO THIRD PARTY SUBCONTRACTORS****** DO NOT SUBMIT ANY RESUMES THAT CANNOT WORK AS OUR W2 EMPLOYEE***Again, NO third party subcontractors!!! DO NOT submit any resumes that cannot work as our W2 employee!!! Someone willing to Relocate is OKProgram Manager (must be a Program Manager with 8-10 Years’ Experience and look for these specific skills. Looking for a Program Manager who has been involved the Purchase of one company by another, or the sale of a company to another!Merger and Acquisitions or M&A or Mergers or Acquisitions or TakeoverDivestiture or spinoff or Break-up",Program Manager M&A
495,"Minimum Required Skills:IBM i, C++, APIIf you are a Sr. Software Architect- C++, IBM i with experience, please read on!***REMOTE OPPORTUNITY*** Sr. Software Architect- C++, IBM i needed for well established eCommerce tech company!! This position is in downtown Boston, near major train, bus and T stops. The work environment is built around our development/engineering group and the company enjoys tremendous longevity from employees – e.g., the average developer stays 5+ yearsTop Reasons to Work with UsGreat pay, excellent benefits and career growth!!What You Need for this PositionC++ expertGreat skill with IBM i specificallyWhat's In It for YouA chance to join a top team and grow with us!So, if you are a Sr. Software Architect- C++, IBM i with experience, please don't hesitate to apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.","REMOTE Sr. Software Architect- C++, IBM i"
496,"Minimum Required Skills:JQuery, Ruby on Rails, ElixirOur company, located in Downtown Boston, is a historic institution that has existed in Boston for over 100 years.If you are a Ruby on Rails Developer with experience, please read on!What You Will Be DoingRight now we are looking for talented Web Developers to join our new team that we are building out. On this team, you will be working on applications that are projected to set the bar for a new industry standard.This will be an amazing position for you if;- You live for tight data structures. - You're a feature oriented developer. - You hate it when automated tests fail, but hate it even more when the test coverage is lacking. - You love UX and hate bad design. - You're focused on DevOps and live to accumulate 9s.What You Need for this PositionAt Least 3 Years of experience and knowledge of:- Elixir- JQuery- Ruby on RailsSo, if you are a Ruby on Rails Developer with experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.",Ruby on Rails Developer - Groundbreaking Application!!
497,"Application Support Analyst Duration: 4 Month Contract Locations: Candidates may be located in any of the following office locations:  Marlborough MA, Warwick, RI or New York City – candidate’s preference- this is an on-site contract (not remote).Summary:       The overall scope of this position will be to provide internal 2nd level support to the Company's existing technology platforms; including but not limited to profile database, client portal, mobile app, online booking tools, mid office and agent scripting systems.The ideal person is solutions-focused, thorough, detail-oriented and creative, who will go the extra mile to provide excellent support to our internal teams who rely on us for our over-arching technical savvy in all areas of our Corporate Business systems.  Responsibilities:Manage and take ownership of support requests via automated tracking systemTechnical administration of database system and online booking toolsProvide an outstanding and professional customer experiencePosition Requirements:2+ years in a customer support role - Excellent customer service skills a MUST!Sabre GDS and Online Booking Tool experience highly preferred (Concur, NuTravel, GetThere)Understanding of QC processes and data integrityMust possess a skill set in analytical thinking and creative problem solvingMust be detail oriented, with excellent verbal and written communication skillsMust demonstrate professionalism working directly with internal clients at all levels of the businessAbility to multi-task in a fast-paced customer-service focused environmentWillingness to learn and work with new and unique applicationsWorks well in team and autonomous rolesBe organized and resourceful with excellent follow through",Application Support Specialist - Travel
498,"Minimum Required Skills:C#, ASP.NET MVC, JavaScript, MS-SQL, Episerver OR MediaChase, E-commerce development, Web Services, CMSWe are the leading provider in cloud based CMS product solutions. Our products make it easy for users to creative effective digital and customizable digital experiences, in an channel and on any device.. The ideal candidate for this role will have a heavy background working on ecommerce platforms and possess a strong .NET development background along with CMS and E-Commerce.Top Reasons to Work with Us•Over two decades of successful experience•Focus on innovation•Great opportunity to work on exciting projects and opportunity for growthWhat You Need for this PositionBSCS or related degreeMinimum 4 + years of profession development experience•C#•ASP.NET•SQL•JavaScript•MVC•HTML5•CMS (ideally MediaChase or similar)•E-commerce (B2B, B2C, B2G, etc)Bonuses:•Cloud•SaaSWhat's In It for You•Competitive salary based on experience up to $130k•Generous full benefits package including medical, dental, vision•Bonus•Paid time off (Vacation + Holidays)•And much more!So, if this sounds like yourself, we'd love to hear from you!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.","Senior .NET Software Engineer (C#/ASP.NET MVC, Cloud, CMS)"
499,"Oracle ERP Cloud Technical Consultant Cognizant Technology Solutions is seeking an Oracle ERP Cloud Technical Consultant to work various project. The ideal candidate will manage all technical aspect of Oracle Cloud implementation projects. Consultant will analyze, design and develop best practices business needs through technology solutions.Qualifications: Experience working in IT for 9 plus years. Should have a strong background working with Oracle especially Oracle Cloud. Experience working with Oracle Cloud ERP Cloud implementation especially with Financials and Supply Change Management. Experience in full life-cycle project development including Requirements, Design, Development, Testing and Roll-out Experience with BIP, OTBI, ADFDI, FBDI and WebServices Experience in integrating ERP could with other systems using SOA, WebServices Ability to quickly understand the business requirement and to design technical concepts Excellent analytical and problem solving skills Strong written and verbal communication skills 7+ years of experience in a similar consulting role or applicable business experience working in benefits department is a plus Please note that this is a remote position but it might require 10% travel at times during certain milestones. Travel will be paid by Cognizant.Responsibility:Business Planning: * Bring knowledge and understand trends, business/technology best practices, needs and guide/advise existing engagements/give inputs to planning process across people, process, technology and data solutions/recommendations in a particular functional area (domain/technology/product/ infrastructure). Solution Conceptualization: * Identify pain areas, opportunities and potential solution offerings by industry/domain with business impact. * contribute to new solution development, develop transformation tools and templates, productivity enhancement solutions/product ideation. * Lead new solution offerings development by identifying/defining use cases, writing process blueprints and walkthroughs & collaborate with technology partners/support architects for offering development. * Define and communicate business/technology solutions in language meaningful to stakeholders in the engagement, such as CBA, ROI, and IRR. Project Support/Delivery: * Active involvement and ownership of Requirements and Solution Design Phase of delivery engagements, creating the business blueprint, (too heavy. * it should be a supporting role) identifying gaps and recommending development/process changes, system configuration design, creation of test scenarios, migration plans. * Provide engagement oversight in areas of specialization as and when called upon. * Monitor AVM SLAs , address ticket resolution escalations, and drive bestinclass process adaptation. * Client Expectation Management Deliver and measure value pre, during, & post delivery engagements. * Ensure client satisfaction. * Help customers execute organizational change programs. * Develop quality deliverables with focus on qualitative and quantitative business case, value props, roadmap, ROI analysis etc. Sales Support: * Contribute to Account Mining & Penetration efforts with active participation in customer planning process including strategic planning phase vs execution phase. * Drive RFP Response & Improving Quality of Response (more business value focused), structures solutions in terms of scoping, effort. * Work with SME groups across domains/products to provide a complete end to end solution, including estimates and definition of critical factors, assumptions, and risks. * Contribute to transformational and consulting deals vs staff aug. * Drive oral presentations to the customers in area of domain/product expertise. Client Management/Relationship Management: * Proactively develop relationships with functional owners. * Navigate client's organization to identify the right sponsors for a given solution. * Support alignment with third party vendor in an engagement wherever applicable (don't think this should appear here). * Support Expectation Management, Client Satisfaction Management, and Risk Management. * Deliver and measure value pre, during, and post engagement and communicate to stakeholders. Market Scan & Brand Building (Added Opportunity Identification): * Bring working knowledge of customer business domain and/or product within a specific industry vertical/domain. * Conduct secondary research on domain/industry specific solutions. * Bring an understanding of competitive landscape. * Identify key trends and forecasts in the given area of domain/industry. * Prepare collateral, publications, technology papers etc for distribution. * Work with account teams to develop and deliver new logos. * Work on opportunity identification, prioritization and input to the qualification process. * Contribute to GTM activities with partners, vendors, industry analysts etc through active mindshare gain Webinars, White papers, speaking events etc. Knowledge Management: * Contribute TL, Design, PoV, tools, templates, case studies etc artifacts into the knowledge management repository. * Ensure all engagement artifacts are stored on knowledge repositories. * Conduct quality review of KM artifacts prior to posting. People Management: * Active participation in recruitment activities identify and hire. * Coaching & Mentoring junior talent. * Conducting midyear and YEA feedback sessions. * Goal and expectation setting for new and existing resources. * Motivate through rewards and recognition, organize team events/initiatives. * Conduct Engagement Performance Reviews. * Demonstrate understanding and skillful handling of people issues. * Identify skill gaps and create training courses around domain/product areas. * Work with the Academy to plan the training calendar.Qualifications: Technical Skills SNo Primary Skill Proficiency Level * Rqrd./Dsrd. 1 Access Control NA Required 2 ABAP Authorization NA Required 3 ABB SCADA NA Required * Proficiency Legends Proficiency Level Generic Reference PL1 The associate has basic awareness and comprehension of the skill and is in the process of acquiring this skill through various channels. PL2 The associate possesses working knowledge of the skill, and can actively and independently apply this skill in engagements and projects. PL3 The associate has comprehensive, in-depth and specialized knowledge of the skill. She / he has extensively demonstrated successful application of the skill in engagements or projects. PL4 The associate can function as a subject matter expert for this skill. The associate is capable of analyzing, evaluating and synthesizing solutions using the skill.About Cognizant Cognizant (NASDAQ: CTSH) is a leading provider of information technology, consulting, and business process services, dedicated to helping the world's leading companies build stronger businesses. Headquartered in Teaneck, New Jersey (U.S.), Cognizant combines a passion for client satisfaction, technology innovation, deep industry and business process expertise, and a global, collaborative workforce that embodies the future of work. With over 100 development and delivery centers worldwide and approximately 244,300 employees as of June 30, 2016, Cognizant is a member of the NASDAQ-100, the S&P 500, the Forbes Global 2000, and the Fortune 500 and is ranked among the top performing and fastest growing companies in the world. Visit us online at http://www.cognizant.com/or follow us on Twitter: USJobsCognizant. Cognizant is an Equal Opportunity Employer Minority/Female/Disability/Veteran. If you require accessibility assistance applying for open positions in the US, please send an email with your request to CareersNorthAmerica@cognizant.com  EmployeeStatus: Permanent JobType: Standard JobShift: Day Job PostingDate: Jan 3, 2017, 12:25:02 PM WillTravel: No Department: Application Development / Application Maintenance",Oracle ERP Cloud Technical (Financials/SCM)
500,"Marketing communications specialist needed for a 3-6 month contract in Metro West. Assignment has potential to extend or convert to full-time. This client is not accessible by public transit. The primary skill required is project management as this person will need to be able to manage anywhere from 50-90 projects at any given time. The client is looking for someone who can manage the back and forth between the internal creative team or external agency and the internal client. Someone who really understands time management and project management is ideal. If this position were to convert to full-time, the salary range would be 50-60K. If interested, please send resume to Alexis.Cardile@CreativeGroup.com. Job Requirements Project Management, Traffic, Coordination. 3+ years experience required.  Department: Mktg/Comm Specialist",Marketing/Communications Coordinator
501,"Minimum Required Skills:Elixir, Ruby On Rails, JavaScriptOur company, located in Downtown Boston, is a historic institution that has existed in Boston for over 100 years.If you are a Elixir Developer with experience, please read on!What You Will Be DoingRight now we are looking for talented Web Developers to join our new team that we are building out. On this team, you will be working on applications that are projected to set the bar for a new industry standard.This will be an amazing position for you if;- You live for tight data structures. - You're a feature oriented developer. - You hate it when automated tests fail, but hate it even more when the test coverage is lacking. - You love UX and hate bad design. - You're focused on DevOps and live to accumulate 9s.What You Need for this PositionAt Least 3 Years of experience and knowledge of:- Elixir- Ruby On Rails- JavaScriptSo, if you are a Elixir Developer with experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.","Elixir Developer - Elixir, Ruby On Rails, JavaScript"
502,"NO 3RD PARTY, LOCAL CANDIDATES ONLY This person will design tests, develop and implement measurement plans, build predictive and analytic models and report on provider quality of care, utilization, access to care, costs, etc., and identify and promote strategies to positively influence access to quality, cost effective care. This individual will also work with other areas of the company, including Underwriting, Provider Services, Clinical Management and Client Services to assist in the understanding of provider cost and network trends impacting program costs, health outcomes and profitability and to recommend strategies for improvement wherever possible.JOB DUTIES AND RESPONSIBILITIES:• Expert SAS programmer and statistical analyst• Demonstrated ability to analyze and solve complex problems along with strong oral and written communication skills• Excellent PC skills with proficiency in MS Office products (Excel, Access, Word, PowerPoint) are essential• Strong customer service and analytical skills• Strong project management and process improvement skills• Ability to make presentations to senior-level leadership• Ability to lead and work well with others• Ability to prioritize and organize multiple tasks and remain focused with multiple interruptions• Ability to meet multiple deadlines• Ability to synthesize business and technical knowledge to develop recommendations to optimize program performance in terms of quality, access and cost.• Provide SAS programming support to develop analytic products for:o Provider and patient profilingo Quality and cost performance scoringo Risk modelingo Cost and outcomes predictionso Program evaluation• Analyze provider reimbursements to identify strategies to improve access and profitability in a manner that is consistent with quality, cost effective care.• Work with vendors and internal departments as necessary to develop and optimize data sources and tools• Provide mentoring, training and support to other analysts.• Provide recommendations on department policies, objectives and initiatives. Evaluate and suggest changes as necessary to optimize processes and efficiencies.• Participate in special projects as needed or requested. Required Skills: • Master’s degree in Computer Science, Math, Finance or business related field or equivalent experience• 5+ years experience in data mining, statistical analysis and modeling to include experience with manipulating and analyzing clinical and financial data using SAS at an expert level• Experience with SQL and business intelligence tools such as Tableau, Cognos, Hyperion, MicroStrategy, Business Objects, MS Report Manager and Report Builder.•• Strong foundation in statistical theory and practice required  ",SAS Analyst
503,"Net2Source, Inc. is one of the fastest growing IT Consulting company across USA. N2S has headquartered at NJ, USA with its branch offices in Asia Pacific Region.   We have following position open with our client. Position: IVR Automation testerLocation: Exeter, NHRole: Fulltime/Permanent (Onsite). Job Description:Empirix hammer experience (1-2yrs) with Selenium or QTP skills   About Net2Source, IncNet2Source is an employer-of-choice for over 1000 consultants across the globe. We recruit top- notch  talent for over 40 Fortune and Government clients coast-to-coast across the U.S. We are one of the fastest-growing companies in the U.S. and this may be your opportunity to join us!  Regards,Manju SheoranSr Technical RecruiterNet2Source Inc.,Email ID: manju@net2source.comDirect: 201-492-6464 ||Tel 201-340-8700*552Address: One Evertrust Plaza, Suite # 305, Jersey City, NJ - 07302 https://in.linkedin.com/in/manju-sheoran-6948a985Website: www.net2source.com Refer and Earn: For contractual positions upto $500 and for full time upto $1000",Backfill Opportunity || IVR Automation tester|| Fulltime
504,"Description:PeopleSoft 9.2 Financials program. Needs a strong Supplier Contracts Management Lead to run the design and implementation of 9.2 Supplier Contracts Management.Responsible for driving the fit gap, design, build and go-live process for the new functionality.Required Skills:PSFT 9.2 Supplier Contracts ManagementThis person should also have experience with Strategic Sourcing - not currently in scope but it's possible that it will be addedHands-on experience as a Solution Designer/fit-gap/Lead consultant in Supplier Contracts Management. Able to run workshops and design sessions, create functional and technical scope documents, help develop the project estimates (time and resources)Experienced running the entire lifecycle of the implementationNeeds hands-on experience with Supplier Contracts Management - this is also a ""doer"" role.Experienced with the capabilities of 9.2 Supplier Contracts Management and able to discuss best practices and PSFT capabilities with the businessStrong communications skills - this is a very collaborative environment with the consulting team and the client",PSFT Supplier Contracts Lead
505,"Position: Front End Web DeveloperLocation: Brighton, MATerm: PermanentCompensation: up to $100,000.00 + a 15% bonus, benefits and more! Our internationally known and established client in Brighton, MA is in need of hiring a Front End Web Developer on a full time basis. They are looking for a Web Developer to join their team and push their user experiences to the next level. They are a small, agile team of front and back end developers who work with modern technology (JS, Git, Webpack, etc.) openly with each other and designers to meet their user*s needs while tackling some of the most interesting problems on the web today. Join their team and have an immediate impact on hundreds of thousands of users every single day! Responsibilities: * Hands-on web development using HTML5, CSS, and JavaScript frameworks and libraries i.e., react.js, angular.js* Work closely with other engineers, product managers, and stakeholders on new features and work with back-end developers to implement visual designs and integrate front-end code with MVC-based frameworks * Work with the QA team on system testing, troubleshooting, and defect resolution* Help evaluate new technologies and prototype concepts * Participate in Agile events such as SCRUM stand-ups, backlog refinement, and sprint planning* Ensure that technical solutions adhere to the technical standards * Works with Product Development and User Experience teams to design application interfaces* Working with 3rd party JavaScript APIs for recommendation engines, ad servers, and video * Works with Application Developers and System Administrators to maintain end-to-end application performance and uptime* Helps evaluate technologies and prototype concepts with the team Requirements:* BA/BS (preferred)* Experience with HTML5, JavaScript and CSS frameworks such as Zurb Foundation * Understanding of object-oriented techniques and design methods * Demonstrated ability to develop responsive web applications * Experience working on a SCRUM/Kanban team in an Agile environment * Experience with bug tracking software, such as JIRA * Knowledge of User Experience design best practices * Experience working with a version control system such as Subversion or Git * Strong knowledge of cross-browser CSS and JS compatibility Desirable Skills:* Content management systems such as WordPress * Experience with data manipulation using AJAX and JSON objects * Experience with server-side templating engines, such as FreeMarker and Soy * Knowledge or interest in ES6, Babel, Webpack, Vagrant, Grunt, React * Familiarity with Mobile First and Progressive Enhancement approach, Atomic Web Design, and Modular Web * Understanding of good software design practices for robust, maintainable code * Familiarity with principles of user-centered design and usability testing Learn more about us at: www.incendia.comPlease visit our web page for a complete listing of open positions. New positions are added regularly.All contact with Incendia Partners is private and confidential. About us:For over 11 years Incendia Partners has been specializing in the placement of software and IT professionals for leading companies in the greater Boston area. As a testament to our success, we were named by Inc. Magazine as one of America's 500 fastest growing companies for 3 straight years. Why work with us? Our combined 70 years in the software industry provides you with the contacts and expertise to help you complete your job search faster, and with less stress, while introducing you to the area's best companies. We focus on working with each individual to find what it is they are looking for and to provide a customized job search that fits your needs. For the past 10+ years, Boston' best engineers have relied on Incendia to find the best job opportunities.Keywords, not required: react.js, reactjs, backbone.js, backbonejs, meteor.js, meteorjs, node.js, nodejs, emberjs, ember.js, angularjs, angular.js, web developer, front end, ux, user experience, software engineer","Front End Web Developer (up to $100,000.00 + bonus)"
506,"Solution IT Inc. is looking for a Java Developer (Angular JS) for one of its clients in TX.  Job Title   Java Developer (Angular JS)Responsibilities Building Angular based web applicationWriting the service APIs using JavaWriting unit test cases for the service APIs.Writing SQL queries to fetch data.Depending on the situation, will be able to work with offshore teams.Required Skills:Java (version 7,8) and object orientation.Angular JSHTMLCSSJava Scripts and JQueryJSONOracle and SQL queries (PL/SQL is an added advantage)Junit 4Very good analytical and problem solving skills.Basic knowledge of Unix commandsWork Site: TX  Duration FullTimeExpected Start Date:  Immediate  Number of Positions1 Please send your responses back to rob@solutionit.com About Solution ITSolution IT is a National IT consulting company specializing in: Technology Staffing and Oracle E-Business Solutions based in Boston, Massachusetts. ThanksRecruiting Team SOLUTION IT INCWork: 781-503-1700URL: http://solutionit.com/ ",Javascript Developer (Angular JS)
507,"Position: MYSQL DBALocation:  Woonsocket, RI.Duration: 6+ Months JD: Should have over 8+ yrs exp.Should have exp. with MYSQL DBAShould have exp. with LinuxShould have good communication skill. Thanks & Regards, Suraj RayIT First Source, Inc. 4249 Route 9N, Suite 2E - 2F, Freehold, NJ 07728Office: 732-813-0585 | | Fax: 732 632 4662suraj@itfsinc.com  | www.itfsinc.comYIM: surajray999",MYSQL DBA
508,"Minimum Required Skills:REACT, Redux, Node.JS, APIs, MySQL, graphqlIf you are a Senior Full Stack Engineer with experience with modern mobile web technologies, please read on!We have an exciting opportunity for an experienced, highly motivated Software Engineer to join our growing tech team in our Somerville, MA office. Our business model is delivering a rapidly growing concept of socializing with painting for a creative and fun evening meant for any one to enjoy. We can guarentee you know at least one person has come to one of our social gatherings that are sweeping the nation!There are fun jobs, there are jobs that offer challenging problems to solve, and there are companies with an environment that offers both -- and we are just that company! Scalable business, unprecedented growth, profitable (how many small companies can say that), a place that offers all employees a voice, and products and services that spread sheer joy and entertainment to its customers; What more could you ask?What You Need for this Position- Experienced with modern mobile web technologies, approaches and concepts such as responsive and adaptive design, React, Redux, Webpack, SASS, and PostCSS.- Experienced publishing and consuming services using GraphQL and similar technologies.- Someone who loves all aspects of development, from brainstorming and design to implementation and launch- Creative, with an entrepreneurial spirit and a sense of humor- Experienced building business systems based on digital marketing and SEO, credit card processing, product selection and purchase, accounting and reporting- Experienced working in an Agile / SCRUM environment- Two years delivering database-driven Node.js applications in production- Five years software development experience or equivalent coursework- Comfort with multiple styles of API: SOAP, REST and GraphQL- Excellent project management and communication skills- Experience building 12-factor applications- Experience with MySQL or similar relational databaseBonus points if you have:- Experience with a Functional Programming language and Algebraic Data Types- Experience incrementally modernizing database schemas while maintaining backward compatibility- Experience using, building and maintaining Docker images and containersWhat's In It for YouWe have created an open and highly collaborative work environment that fosters and encourages creativity at every level and facet of our business. We work at warp speed while also encouraging our employees to bring their entire self to work and we offer flex time when needed and unlimited PTO, and all we ask in return is that you are accountable to your individual deliverables, your colleagues and the overall success of our company.Not to mention a competitive salary of $100K-$120K, full health,dental and vision benefits and much, much more!So, if you are a Senior Full Stack Engineer with experience with modern mobile web technologies, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.",Senior Full Stack Engineer - Rapidly Growing Creative Events Co.
509,"Minimum Required Skills:UX design, JavaScript/HTML/CSS, Node.JS, AngularJS, Product DesignIf you are a Lead UX Designer with experience, please read on!Based in Boston, we are a company that's building the digital supply chain and transforming how commerce is done. We help people to create, manage and exchange product information in an easy, fun, and efficient way. We are currently looking to hire a talented Lead UX Designer to join our amazing team of engineers!Top Reasons to Work with Us1. Work with the newest technologies!2. Flexible scheduling3. Unlimited PTO!What You Will Be Doing- Be the driving force in defining the design process that supports the business goals and product and engineering teams- Manage the professional growth and advancement of individuals on the design team- Educate the team at large about the design process and decision making- Define and communicate design goals that align with the product development process, the brand, and business goals- Be excited to engage in the day to day of designing a delightful B2B productWhat You Need for this PositionAt Least 3 Years of experience and knowledge of:- UX design- JavaScript/HTML/CSS- Node.JS- AngularJS- Product DesignWhat's In It for YouWe are willing to offer excellent compensation packages including a base salary that ranges between $130k-$175k, Equity, 401k, T-Pass, Hubway, dependant care, Anyperk and Full Health benefits.*******If you want to apply directly, please send your resumes in Word format to jaison.cramer@cybercoders.com*******So, if you are a Lead UX Designer with experience, please apply today!Applicants must be authorized to work in the U.S.Please apply directly to by clicking 'Click Here to Apply' with your Word resume!Looking forward to receiving your resume and going over the position in more detail with you.- Not a fit for this position? Click the link at the bottom of this email to search all of our open positions.Looking forward to receiving your resume!CyberCodersCyberCoders, Inc is proud to be an Equal Opportunity EmployerAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.Your Right to Work - In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.Copyright © 1999 - 2017 . CyberCoders, Inc. All rights reserved.","Lead UX Designer - UX design, JavaScript/HTML/CSS, Node.JS"
